No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,58870.1,52.285962899999994,-2.1196281999999997,107.777,347.344,62.87,0.28,0.1,6.700011999999999,107.59,107.53,107.67,106.95,0.6000061,107.64,0.04997993,0.01937985,0.0,6.0,3.0,3327.0,86.0,0.0,0.0,0.0,13.7,10.5,31.0
138.0,58870.2,52.2859892,-2.1196379,108.288,347.315,62.88,0.26,0.1,6.700011999999999,107.79,107.83,107.79,107.31,0.3999939,107.68,0.04997993,0.009180069,0.0,6.0,3.0,3353.0,86.0,0.0,0.0,0.0,13.7,10.5,30.0
138.0,58870.3,52.2860154,-2.1196476,107.96,347.254,62.88,0.24,0.1,6.599976,107.91,107.9,107.9,107.06,0.8000183000000001,107.91,0.04997993,0.01937985,0.0,6.0,3.0,3395.0,86.0,0.0,0.0,0.0,13.8,10.5,28.0
138.0,58870.4,52.286041700000006,-2.1196572999999996,108.072,347.19699999999995,62.91,0.24,0.1,6.200012,108.24,108.17,108.13,107.31,0.8000183000000001,108.16,0.04997993,0.01937985,0.0,6.0,3.0,3375.0,86.0,0.0,0.0,0.0,13.8,10.5,27.5
138.0,58870.5,52.286068099999994,-2.1196672999999997,108.53299999999999,346.986,62.92,0.22,0.1,5.899963,108.3,108.28,108.24,107.74,0.7000122,108.19,0.04997993,0.02957988,0.0,6.0,3.0,3348.0,86.0,0.0,0.0,0.0,13.8,10.5,26.0
138.0,58870.6,52.2860945,-2.1196769,108.324,347.284,62.95,0.24,0.1,6.0,108.29,108.37,108.32,107.8,1.0,108.35,0.03977990000000001,0.02957988,0.0,6.0,3.0,3369.0,86.0,0.0,0.0,0.0,13.8,10.5,25.5
138.0,58870.7,52.2861209,-2.119687,108.986,346.81800000000004,62.96,0.21,0.1,6.0,108.49,108.43,108.63,107.77,0.8999939,108.44,0.02957988,0.02957988,0.0,6.0,3.0,3365.0,86.0,0.0,0.0,0.0,13.7,10.5,25.0
138.0,58870.8,52.2861473,-2.1196972,108.569,346.639,62.97,0.2,0.1,6.0,108.52,108.59,108.49,108.09,0.8000183000000001,108.47,0.02957988,0.01937985,0.0,6.0,3.0,3387.0,86.0,0.0,0.0,0.0,13.8,10.5,25.0
138.0,58870.9,52.28617369999999,-2.1197073,108.662,346.795,63.0,0.21,0.1,6.0,108.61,108.72,108.58,108.07,0.8000183000000001,108.67,0.02957988,0.01937985,0.0,6.0,3.0,3386.0,86.0,0.0,-0.23001100000000002,0.0,13.8,10.5,24.0
138.0,58871.0,52.286200099999995,-2.1197174999999997,108.785,346.71,63.03,0.21,0.1,6.0,108.73,108.66,108.76,107.97,0.7000122,108.7,0.01937985,0.01937985,0.0,6.0,3.0,3382.0,86.0,0.0,0.0,0.0,13.7,10.5,23.5
